Player,Nation,Age,Min,SoTA,GA,Saves,Save%,PSxG,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
André Onana,cm CMR,28-136,90,2,0.0,2.0,100.0,0.9,3,10,30.0,29,6,34.5,29.6,16,2.0,12.5,4.0,16.3,True,ManchesterUtd_Fulham_20240816
Bernd Leno,de GER,32-165,90,5,1.0,4.0,80.0,2.1,2,12,16.7,36,3,27.8,30.5,17,0.0,0.0,1.0,18.3,False,ManchesterUtd_Fulham_20240816
Christian Walton,eng ENG,28-282,90,5,2.0,3.0,60.0,2.3,6,14,42.9,36,7,33.3,30.4,16,1.0,6.3,1.0,13.8,True,IpswichTown_Liverpool_20240817
Alisson,br BRA,31-320,90,2,0.0,2.0,100.0,0.2,3,9,33.3,49,3,18.4,25.0,4,0.0,0.0,1.0,19.5,False,IpswichTown_Liverpool_20240817
Nick Pope,eng ENG,32-120,90,3,0.0,3.0,100.0,0.4,7,23,30.4,16,2,81.3,52.4,24,1.0,4.2,1.0,20.5,True,NewcastleUtd_Southampton_20240817
Alex McCarthy,eng ENG,34-258,90,1,1.0,0.0,0.0,0.6,3,4,75.0,20,3,20.0,23.7,12,2.0,16.7,0.0,7.2,False,NewcastleUtd_Southampton_20240817
Jordan Pickford,eng ENG,30-163,90,5,3.0,2.0,40.0,2.4,17,31,54.8,43,4,69.8,47.7,8,1.0,12.5,5.0,25.4,True,Everton_Brighton_20240817
Jason Steele,eng ENG,33-365,90,1,0.0,1.0,100.0,0.0,1,6,16.7,60,1,8.3,22.6,13,0.0,0.0,1.0,14.5,False,Everton_Brighton_20240817
Matz Sels,be BEL,32-173,90,4,1.0,3.0,75.0,1.2,15,26,57.7,43,3,53.5,38.0,18,0.0,0.0,0.0,9.3,True,Nott'hamForest_Bournemouth_20240817
Neto,br BRA,35-029,90,8,1.0,7.0,87.5,1.7,0,8,0.0,27,6,29.6,31.8,11,0.0,0.0,3.0,14.6,False,Nott'hamForest_Bournemouth_20240817
David Raya,es ESP,28-337,90,3,0.0,3.0,100.0,0.2,5,12,41.7,32,5,21.9,29.4,11,1.0,9.1,0.0,9.0,True,Arsenal_Wolves_20240817
José Sá,pt POR,31-213,90,6,2.0,4.0,66.7,1.7,7,22,31.8,35,1,51.4,38.6,11,1.0,9.1,2.0,15.8,False,Arsenal_Wolves_20240817
Alphonse Areola,fr FRA,31-172,90,3,2.0,1.0,33.3,1.3,7,11,63.6,27,7,29.6,27.4,11,1.0,9.1,3.0,16.9,True,WestHam_AstonVilla_20240817
Emiliano Martínez,ar ARG,31-350,90,3,1.0,2.0,100.0,1.3,7,17,41.2,34,4,44.1,37.6,19,1.0,5.3,1.0,14.7,False,WestHam_AstonVilla_20240817
Mark Flekken,nl NED,31-066,90,6,1.0,6.0,83.3,1.0,9,18,50.0,47,5,29.8,34.3,11,1.0,9.1,2.0,14.9,True,Brentford_CrystalPalace_20240818
Dean Henderson,eng ENG,27-159,90,5,2.0,3.0,60.0,2.4,2,11,18.2,15,3,53.3,37.0,14,0.0,0.0,2.0,26.0,False,Brentford_CrystalPalace_20240818
Robert Sánchez,es ESP,26-274,90,5,2.0,3.0,60.0,0.8,1,5,20.0,23,4,21.7,29.3,6,1.0,16.7,0.0,9.8,True,Chelsea_ManchesterCity_20240818
Ederson,br BRA,31-001,90,3,0.0,3.0,100.0,0.7,4,9,44.4,37,5,21.6,29.5,12,1.0,8.3,0.0,11.0,False,Chelsea_ManchesterCity_20240818
Mads Hermansen,dk DEN,24-039,90,6,1.0,5.0,83.3,1.9,3,15,20.0,23,5,47.8,42.6,23,0.0,0.0,0.0,15.5,True,LeicesterCity_Tottenham_20240819
Guglielmo Vicario,it ITA,27-317,90,3,1.0,2.0,66.7,1.3,0,1,0.0,43,6,2.3,18.4,12,1.0,8.3,8.0,28.3,False,LeicesterCity_Tottenham_20240819
Jason Steele,eng ENG,34-006,90,3,1.0,2.0,66.7,0.4,6,10,60.0,50,6,20.0,28.2,9,2.0,22.2,2.0,16.7,True,Brighton_ManchesterUtd_20240824
André Onana,cm CMR,28-144,90,4,2.0,2.0,50.0,2.5,9,13,69.2,57,9,22.8,26.2,9,0.0,0.0,1.0,14.6,False,Brighton_ManchesterUtd_20240824
Ederson,br BRA,31-007,90,1,1.0,0.0,0.0,0.3,1,1,100.0,24,1,4.2,24.1,5,0.0,0.0,1.0,19.5,True,ManchesterCity_IpswichTown_20240824
Arijanet Muric,xk KVX,25-291,90,5,4.0,1.0,40.0,3.5,3,10,30.0,30,4,23.3,28.2,15,0.0,0.0,3.0,20.0,False,ManchesterCity_IpswichTown_20240824
Alex McCarthy,eng ENG,34-265,90,8,1.0,7.0,87.5,1.6,1,3,33.3,29,8,10.3,21.1,14,1.0,7.1,0.0,6.0,True,Southampton_Nott'hamForest_20240824
Matz Sels,be BEL,32-180,90,1,0.0,1.0,100.0,0.0,4,14,28.6,16,0,75.0,50.3,10,2.0,20.0,0.0,3.5,False,Southampton_Nott'hamForest_20240824
Guglielmo Vicario,it ITA,27-322,90,1,0.0,1.0,100.0,0.1,0,0,,43,10,0.0,16.3,9,1.0,11.1,0.0,14.2,True,Tottenham_Everton_20240824
Jordan Pickford,eng ENG,30-170,90,7,4.0,3.0,42.9,2.6,10,20,50.0,27,2,63.0,42.7,14,0.0,0.0,2.0,14.8,False,Tottenham_Everton_20240824
Bernd Leno,de GER,32-173,90,4,1.0,3.0,75.0,1.7,5,12,41.7,37,2,29.7,32.3,11,2.0,18.2,2.0,12.8,True,Fulham_LeicesterCity_20240824
Mads Hermansen,dk DEN,24-044,90,6,2.0,4.0,66.7,1.9,1,8,12.5,38,8,15.8,27.3,19,2.0,10.5,0.0,5.5,False,Fulham_LeicesterCity_20240824
Dean Henderson,eng ENG,27-165,90,3,2.0,1.0,33.3,0.9,1,12,8.3,22,4,54.5,39.5,8,0.0,0.0,0.0,2.0,True,CrystalPalace_WestHam_20240824
Alphonse Areola,fr FRA,31-179,90,2,0.0,2.0,100.0,0.3,8,22,36.4,32,3,40.6,33.8,15,1.0,6.7,1.0,16.8,False,CrystalPalace_WestHam_20240824
Emiliano Martínez,ar ARG,31-357,90,4,2.0,2.0,50.0,0.9,4,10,40.0,33,5,24.2,28.3,8,1.0,12.5,0.0,10.3,True,AstonVilla_Arsenal_20240824
David Raya,es ESP,28-344,90,3,0.0,3.0,100.0,1.0,3,7,42.9,26,4,19.2,25.3,6,0.0,0.0,1.0,9.7,False,AstonVilla_Arsenal_20240824
José Sá,pt POR,31-221,90,8,6.0,2.0,25.0,3.0,6,14,42.9,28,2,46.4,37.8,8,0.0,0.0,3.0,21.2,True,Wolves_Chelsea_20240825
Robert Sánchez,es ESP,26-281,90,4,2.0,2.0,50.0,0.8,3,10,30.0,41,5,17.1,25.4,8,2.0,25.0,2.0,15.7,False,Wolves_Chelsea_20240825
Neto,br BRA,35-037,90,5,1.0,4.0,80.0,2.6,9,19,47.4,19,1,63.2,43.9,19,2.0,10.5,0.0,4.5,True,Bournemouth_NewcastleUtd_20240825
Nick Pope,eng ENG,32-128,90,4,1.0,3.0,75.0,1.1,5,11,45.5,27,6,18.5,27.1,14,1.0,7.1,6.0,19.2,False,Bournemouth_NewcastleUtd_20240825
Alisson,br BRA,31-328,90,2,0.0,2.0,100.0,0.8,5,12,41.7,34,2,29.4,31.5,6,0.0,0.0,0.0,7.5,True,Liverpool_Brentford_20240825
Mark Flekken,nl NED,31-073,90,8,2.0,6.0,75.0,2.8,8,18,44.4,50,3,30.0,34.9,14,0.0,0.0,2.0,17.5,False,Liverpool_Brentford_20240825
David Raya,es ESP,28-351,90,4,1.0,3.0,75.0,0.6,9,30,30.0,30,3,66.7,43.6,18,5.0,27.8,0.0,7.4,True,Arsenal_Brighton_20240831
Bart Verbruggen,nl NED,22-013,90,7,1.0,6.0,85.7,2.4,5,10,50.0,32,6,28.1,30.9,6,0.0,0.0,2.0,25.0,False,Arsenal_Brighton_20240831
Arijanet Muric,xk KVX,25-298,90,4,1.0,3.0,75.0,1.1,2,9,22.2,36,6,16.7,24.7,21,1.0,4.8,1.0,13.5,True,IpswichTown_Fulham_20240831
Bernd Leno,de GER,32-180,90,4,1.0,3.0,75.0,0.4,2,10,20.0,40,2,15.0,25.2,12,1.0,8.3,1.0,12.3,False,IpswichTown_Fulham_20240831
Matz Sels,be BEL,32-187,90,2,1.0,1.0,50.0,0.6,4,15,26.7,19,1,78.9,49.0,6,0.0,0.0,0.0,5.7,True,Nott'hamForest_Wolves_20240831
Sam Johnstone,eng ENG,31-159,90,5,1.0,4.0,80.0,1.7,5,19,26.3,31,0,61.3,41.5,17,1.0,5.9,1.0,11.0,False,Nott'hamForest_Wolves_20240831
Mark Flekken,nl NED,31-079,90,6,1.0,5.0,83.3,0.7,7,12,58.3,35,4,28.6,31.2,14,0.0,0.0,1.0,17.0,True,Brentford_Southampton_20240831
Aaron Ramsdale,eng ENG,26-109,90,7,3.0,4.0,57.1,3.2,2,13,15.4,39,8,33.3,31.3,8,1.0,12.5,0.0,5.3,False,Brentford_Southampton_20240831
Mads Hermansen,dk DEN,24-051,90,5,2.0,3.0,60.0,2.3,2,2,100.0,26,5,7.7,22.8,9,0.0,0.0,5.0,20.0,True,LeicesterCity_AstonVilla_20240831
Emiliano Martínez,ar ARG,31-364,90,3,1.0,2.0,66.7,0.4,11,17,64.7,30,2,33.3,33.5,13,2.0,15.4,2.0,12.9,False,LeicesterCity_AstonVilla_20240831
Jordan Pickford,eng ENG,30-177,90,7,3.0,4.0,57.1,2.5,11,32,34.4,31,1,83.9,56.7,20,0.0,0.0,4.0,22.3,True,Everton_Bournemouth_20240831
Kepa Arrizabalaga,es ESP,29-333,90,8,2.0,6.0,75.0,1.5,2,6,33.3,18,4,11.1,24.2,18,0.0,0.0,0.0,11.0,False,Everton_Bournemouth_20240831
Alphonse Areola,fr FRA,31-186,45,5,2.0,3.0,60.0,1.7,4,7,57.1,13,3,38.5,35.1,9,1.0,11.1,,5.0,True,WestHam_ManchesterCity_20240831
Łukasz Fabiański,pl POL,39-135,45,3,1.0,2.0,66.7,1.2,1,4,25.0,6,3,33.3,37.5,6,0.0,0.0,0.0,6.0,True,WestHam_ManchesterCity_20240831
Ederson,br BRA,31-014,90,2,1.0,2.0,50.0,0.2,3,7,42.9,33,2,18.2,27.4,10,0.0,0.0,2.0,24.0,False,WestHam_ManchesterCity_20240831
Nick Pope,eng ENG,32-135,90,6,1.0,6.0,83.3,1.5,4,21,19.0,22,5,68.2,47.7,22,1.0,4.5,2.0,15.7,True,NewcastleUtd_Tottenham_20240901
Guglielmo Vicario,it ITA,27-330,90,3,2.0,1.0,33.3,2.1,0,5,0.0,22,6,22.7,29.0,10,1.0,10.0,0.0,9.8,False,NewcastleUtd_Tottenham_20240901
Robert Sánchez,es ESP,26-288,90,3,1.0,2.0,66.7,1.1,3,6,50.0,34,5,14.7,23.5,6,1.0,16.7,7.0,19.6,True,Chelsea_CrystalPalace_20240901
Dean Henderson,eng ENG,27-173,90,7,1.0,6.0,85.7,2.7,5,16,31.3,21,5,52.4,39.3,15,2.0,13.3,0.0,5.0,False,Chelsea_CrystalPalace_20240901
André Onana,cm CMR,28-152,90,3,3.0,0.0,0.0,2.4,3,11,27.3,52,4,17.3,24.5,6,0.0,0.0,3.0,27.3,True,ManchesterUtd_Liverpool_20240901
Alisson,br BRA,31-335,90,3,0.0,3.0,100.0,0.6,1,4,25.0,35,3,11.4,20.0,14,1.0,7.1,5.0,17.7,False,ManchesterUtd_Liverpool_20240901
Aaron Ramsdale,eng ENG,26-123,90,10,3.0,7.0,70.0,3.6,3,9,33.3,36,7,25.0,27.0,7,2.0,28.6,2.0,15.5,True,Southampton_ManchesterUtd_20240914
André Onana,cm CMR,28-165,90,3,0.0,2.0,100.0,1.0,2,7,28.6,35,3,20.0,27.2,6,0.0,0.0,0.0,13.0,False,Southampton_ManchesterUtd_20240914
Ederson,br BRA,31-028,90,5,1.0,4.0,80.0,2.1,6,15,40.0,41,2,29.3,31.7,9,0.0,0.0,6.0,16.3,True,ManchesterCity_Brentford_20240914
Mark Flekken,nl NED,31-093,90,7,2.0,5.0,71.4,2.0,11,18,61.1,65,2,27.7,31.1,9,2.0,22.2,3.0,19.4,False,ManchesterCity_Brentford_20240914
Alisson,br BRA,31-348,90,3,1.0,2.0,66.7,0.7,0,2,0.0,18,1,11.1,19.7,5,0.0,0.0,1.0,21.3,True,Liverpool_Nott'hamForest_20240914
Matz Sels,be BEL,32-201,90,5,0.0,5.0,100.0,0.6,9,29,31.0,21,0,95.2,55.9,16,1.0,6.3,1.0,12.0,False,Liverpool_Nott'hamForest_20240914
Dean Henderson,eng ENG,27-186,90,4,2.0,2.0,50.0,2.2,2,5,40.0,26,10,15.4,26.0,7,0.0,0.0,2.0,17.5,True,CrystalPalace_LeicesterCity_20240914
Mads Hermansen,dk DEN,24-065,90,4,2.0,2.0,75.0,1.8,7,26,26.9,30,8,66.7,50.1,21,1.0,4.8,0.0,5.3,False,CrystalPalace_LeicesterCity_20240914
Bernd Leno,de GER,32-194,90,3,1.0,2.0,66.7,0.9,3,8,37.5,31,3,16.1,26.2,12,0.0,0.0,1.0,12.7,True,Fulham_WestHam_20240914
Alphonse Areola,fr FRA,31-200,90,5,1.0,4.0,80.0,0.8,2,13,15.4,20,2,40.0,34.8,16,0.0,0.0,0.0,4.0,False,Fulham_WestHam_20240914
Bart Verbruggen,nl NED,22-027,90,1,0.0,1.0,100.0,0.1,2,3,66.7,36,3,8.3,20.5,3,1.0,33.3,0.0,10.0,True,Brighton_IpswichTown_20240914
Arijanet Muric,xk KVX,25-312,90,6,0.0,6.0,100.0,2.1,6,22,27.3,38,8,42.1,34.6,21,4.0,19.0,0.0,8.9,False,Brighton_IpswichTown_20240914
Emiliano Martínez,ar ARG,32-012,90,2,2.0,0.0,0.0,1.1,4,5,80.0,20,4,25.0,30.9,10,2.0,20.0,2.0,17.2,True,AstonVilla_Everton_20240914
Jordan Pickford,eng ENG,30-191,90,7,3.0,4.0,57.1,2.4,11,18,61.1,25,4,60.0,45.5,15,0.0,0.0,2.0,19.8,False,AstonVilla_Everton_20240914
Mark Travers,ie IRL,25-119,90,3,1.0,2.0,66.7,1.2,6,12,50.0,16,3,62.5,40.3,6,0.0,0.0,2.0,16.0,True,Bournemouth_Chelsea_20240914
Robert Sánchez,es ESP,26-301,90,7,0.0,6.0,100.0,2.5,3,14,21.4,51,6,25.5,29.6,14,2.0,14.3,2.0,15.0,False,Bournemouth_Chelsea_20240914
Guglielmo Vicario,it ITA,27-344,90,4,1.0,3.0,75.0,1.4,1,3,33.3,25,4,12.0,23.2,9,0.0,0.0,1.0,13.0,True,Tottenham_Arsenal_20240915
David Raya,es ESP,29-000,90,5,0.0,5.0,100.0,0.3,8,20,40.0,31,6,45.2,34.9,25,2.0,8.0,2.0,12.4,False,Tottenham_Arsenal_20240915
Sam Johnstone,eng ENG,31-174,90,6,2.0,4.0,66.7,1.7,15,24,62.5,42,5,50.0,35.9,10,1.0,10.0,1.0,10.0,True,Wolves_NewcastleUtd_20240915
Nick Pope,eng ENG,32-149,90,5,1.0,4.0,80.0,1.3,1,9,11.1,28,3,32.1,37.0,13,1.0,7.7,2.0,17.0,False,Wolves_NewcastleUtd_20240915
Alphonse Areola,fr FRA,31-207,90,5,3.0,2.0,40.0,2.7,3,5,60.0,29,4,17.2,23.0,6,0.0,0.0,0.0,11.7,True,WestHam_Chelsea_20240921
Robert Sánchez,es ESP,26-308,90,7,0.0,7.0,100.0,0.8,6,13,46.2,42,8,28.6,31.9,21,3.0,14.3,2.0,12.1,False,WestHam_Chelsea_20240921
Guglielmo Vicario,it ITA,27-350,90,6,1.0,5.0,83.3,1.5,1,5,20.0,34,9,14.7,25.9,12,4.0,33.3,4.0,14.7,True,Tottenham_Brentford_20240921
Mark Flekken,nl NED,31-100,90,9,3.0,6.0,66.7,1.9,13,30,43.3,66,4,42.4,37.3,16,1.0,6.3,1.0,11.0,False,Tottenham_Brentford_20240921
Emiliano Martínez,ar ARG,32-019,90,4,1.0,3.0,75.0,1.1,1,4,25.0,29,4,13.8,25.1,10,0.0,0.0,2.0,16.3,True,AstonVilla_Wolves_20240921
Sam Johnstone,eng ENG,31-180,90,3,3.0,0.0,0.0,1.8,4,12,33.3,31,6,29.0,33.0,12,0.0,0.0,1.0,19.5,False,AstonVilla_Wolves_20240921
Bernd Leno,de GER,32-201,90,5,1.0,4.0,80.0,1.0,5,19,26.3,27,3,55.6,44.6,11,1.0,9.1,0.0,11.0,True,Fulham_NewcastleUtd_20240921
Nick Pope,eng ENG,32-155,90,11,3.0,8.0,72.7,3.0,0,3,0.0,18,8,5.6,23.9,13,0.0,0.0,0.0,2.0,False,Fulham_NewcastleUtd_20240921
Aaron Ramsdale,eng ENG,26-130,90,6,1.0,5.0,83.3,2.4,3,17,17.6,36,3,44.4,36.0,17,1.0,5.9,4.0,21.4,True,Southampton_IpswichTown_20240921
Arijanet Muric,xk KVX,25-319,90,3,1.0,2.0,66.7,1.2,0,1,0.0,25,5,4.0,20.5,8,2.0,25.0,0.0,6.7,False,Southampton_IpswichTown_20240921
Mads Hermansen,dk DEN,24-072,90,5,1.0,4.0,80.0,1.5,5,8,62.5,27,6,25.9,28.7,9,1.0,11.1,0.0,5.0,True,LeicesterCity_Everton_20240921
Jordan Pickford,eng ENG,30-198,90,2,1.0,1.0,50.0,1.0,11,21,52.4,23,2,52.2,43.1,24,2.0,8.3,1.0,13.2,False,LeicesterCity_Everton_20240921
Caoimhín Kelleher,ie IRL,25-303,90,6,0.0,6.0,100.0,1.5,3,6,50.0,44,8,13.6,21.2,17,1.0,5.9,0.0,10.0,True,Liverpool_Bournemouth_20240921
Kepa Arrizabalaga,es ESP,29-354,90,12,3.0,9.0,75.0,3.8,3,8,37.5,32,7,18.8,30.7,6,1.0,16.7,2.0,10.5,False,Liverpool_Bournemouth_20240921
Dean Henderson,eng ENG,27-193,90,6,0.0,6.0,100.0,1.8,5,22,22.7,31,5,45.2,37.2,17,3.0,17.6,4.0,17.9,True,CrystalPalace_ManchesterUtd_20240921
André Onana,cm CMR,28-172,90,4,0.0,4.0,100.0,0.5,1,7,14.3,42,5,16.7,22.5,11,0.0,0.0,1.0,14.0,False,CrystalPalace_ManchesterUtd_20240921
Bart Verbruggen,nl NED,22-035,90,3,2.0,1.0,66.7,1.7,2,4,50.0,35,9,11.4,21.0,3,1.0,33.3,6.0,22.5,True,Brighton_Nott'hamForest_20240922
Matz Sels,be BEL,32-209,90,3,2.0,1.0,33.3,1.1,5,23,21.7,17,1,82.4,52.9,34,0.0,0.0,0.0,1.0,False,Brighton_Nott'hamForest_20240922
Ederson,br BRA,31-036,90,3,2.0,1.0,33.3,1.5,2,6,33.3,26,0,23.1,28.7,7,0.0,0.0,2.0,23.3,True,ManchesterCity_Arsenal_20240922
David Raya,es ESP,29-007,90,11,2.0,9.0,81.8,2.2,9,31,29.0,28,0,67.9,47.9,18,3.0,16.7,0.0,6.0,False,ManchesterCity_Arsenal_20240922
Nick Pope,eng ENG,32-162,90,6,1.0,5.0,83.3,1.4,1,8,12.5,18,6,33.3,35.1,16,1.0,6.3,1.0,14.0,True,NewcastleUtd_ManchesterCity_20240928
Ederson,br BRA,31-042,90,4,1.0,3.0,100.0,1.1,6,15,40.0,47,7,29.8,29.6,13,0.0,0.0,0.0,11.0,False,NewcastleUtd_ManchesterCity_20240928
Mark Flekken,nl NED,31-107,90,3,1.0,2.0,66.7,1.3,5,15,33.3,47,3,27.7,33.6,14,1.0,7.1,1.0,13.7,True,Brentford_WestHam_20240928
Alphonse Areola,fr FRA,31-214,90,3,1.0,2.0,66.7,1.3,10,18,55.6,30,4,40.0,33.1,22,0.0,0.0,2.0,20.0,False,Brentford_WestHam_20240928
Jordan Pickford,eng ENG,30-205,90,4,1.0,3.0,75.0,0.7,14,27,51.9,35,5,60.0,41.5,17,3.0,17.6,2.0,14.8,True,Everton_CrystalPalace_20240928
Dean Henderson,eng ENG,27-200,90,2,2.0,0.0,0.0,0.6,0,3,0.0,16,5,12.5,22.4,20,0.0,0.0,1.0,12.7,False,Everton_CrystalPalace_20240928
David Raya,es ESP,29-013,90,3,2.0,1.0,33.3,0.2,2,8,25.0,22,2,36.4,34.1,2,0.0,0.0,0.0,,True,Arsenal_LeicesterCity_20240928
Mads Hermansen,dk DEN,24-079,90,16,4.0,13.0,75.0,5.2,9,22,40.9,29,4,44.8,34.2,36,2.0,5.6,2.0,11.2,False,Arsenal_LeicesterCity_20240928
Robert Sánchez,es ESP,26-315,90,5,2.0,3.0,60.0,1.4,4,18,22.2,56,10,26.8,30.1,9,0.0,0.0,5.0,22.6,True,Chelsea_Brighton_20240928
Bart Verbruggen,nl NED,22-041,90,6,4.0,2.0,50.0,3.1,5,10,50.0,46,2,21.7,27.8,10,0.0,0.0,2.0,16.2,False,Chelsea_Brighton_20240928
Matz Sels,be BEL,32-215,90,2,1.0,1.0,100.0,0.8,1,11,9.1,16,1,56.3,38.6,14,0.0,0.0,0.0,4.3,True,Nott'hamForest_Fulham_20240928
Bernd Leno,de GER,32-208,90,1,0.0,1.0,100.0,0.0,3,6,50.0,31,2,12.9,24.4,20,1.0,5.0,0.0,7.3,False,Nott'hamForest_Fulham_20240928
Sam Johnstone,eng ENG,31-187,90,6,2.0,4.0,83.3,1.5,5,10,50.0,38,8,21.1,27.8,16,2.0,12.5,2.0,12.3,True,Wolves_Liverpool_20240928
Alisson,br BRA,31-362,90,3,1.0,2.0,66.7,1.1,1,5,20.0,30,3,16.7,26.7,13,1.0,7.7,2.0,14.6,False,Wolves_Liverpool_20240928
Arijanet Muric,xk KVX,25-327,90,3,2.0,1.0,33.3,1.2,3,7,42.9,23,2,17.4,24.8,2,0.0,0.0,1.0,20.8,True,IpswichTown_AstonVilla_20240929
Emiliano Martínez,ar ARG,32-027,90,5,2.0,3.0,60.0,2.4,4,11,36.4,29,2,20.7,31.2,14,2.0,14.3,0.0,7.0,False,IpswichTown_AstonVilla_20240929
André Onana,cm CMR,28-180,90,10,3.0,7.0,70.0,3.4,5,15,33.3,29,9,31.0,30.0,10,1.0,10.0,0.0,5.0,True,ManchesterUtd_Tottenham_20240929
Guglielmo Vicario,it ITA,27-358,90,2,0.0,2.0,100.0,0.3,1,2,50.0,45,7,4.4,19.5,15,1.0,6.7,2.0,16.8,False,ManchesterUtd_Tottenham_20240929
Kepa Arrizabalaga,es ESP,29-363,90,3,1.0,2.0,66.7,1.3,6,8,75.0,22,3,31.8,33.7,11,1.0,9.1,1.0,12.3,True,Bournemouth_Southampton_20240930
Aaron Ramsdale,eng ENG,26-139,90,6,3.0,3.0,50.0,1.6,6,17,35.3,54,5,31.5,32.0,16,1.0,6.3,2.0,19.0,False,Bournemouth_Southampton_20240930
Dean Henderson,eng ENG,27-207,90,4,1.0,3.0,75.0,0.5,1,18,5.6,23,5,52.2,39.8,11,0.0,0.0,3.0,17.5,True,CrystalPalace_Liverpool_20241005
Alisson,br BRA,32-003,78,4,,4.0,,1.0,1,8,12.5,37,9,18.9,24.5,6,,,1.0,14.0,False,CrystalPalace_Liverpool_20241005
Vitezslav Jaros,cz CZE,23-074,12,1,0.0,1.0,100.0,0.0,5,7,71.4,7,2,85.7,50.9,2,0.0,0.0,0.0,11.0,False,CrystalPalace_Liverpool_20241005
Mark Flekken,nl NED,31-114,90,6,3.0,3.0,50.0,1.4,9,19,47.4,37,2,37.8,37.0,16,1.0,6.3,0.0,5.8,True,Brentford_Wolves_20241005
Sam Johnstone,eng ENG,31-194,90,12,5.0,7.0,66.7,4.8,6,24,25.0,44,3,50.0,38.7,19,0.0,0.0,1.0,12.7,False,Brentford_Wolves_20241005
Mads Hermansen,dk DEN,24-086,90,2,0.0,2.0,100.0,0.8,12,27,44.4,36,2,47.2,36.8,25,2.0,8.0,0.0,4.5,True,LeicesterCity_Bournemouth_20241005
